10:09:54.249 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @13864ms
10:13:56.664 [nREPL-worker-2] INFO  org.eclipse.jetty.server.Server - jetty-9.3.1.v20150714
10:13:56.697 [nREPL-worker-2] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@3bdb35c2{/,null,AVAILABLE}
10:13:56.726 [nREPL-worker-2] INFO  o.e.jetty.server.ServerConnector - Started ServerConnector@2346de00{HTTP/1.1,[http/1.1]}{0.0.0.0:8080}
10:13:56.726 [nREPL-worker-2] INFO  org.eclipse.jetty.server.Server - Started @256354ms
10:16:44.296 [qtp1265414275-31] INFO  io.pedestal.http - {:line 78, :msg "GET /"}
10:16:45.321 [qtp1265414275-31] INFO  datomic.process-monitor - {:event :metrics/initializing, :metricsCallback clojure.core/identity, :phase :begin, :pid 488, :tid 31}
10:16:45.323 [qtp1265414275-31] INFO  datomic.process-monitor - {:event :metrics/initializing, :metricsCallback clojure.core/identity, :msec 0.865, :phase :end, :pid 488, :tid 31}
10:16:45.323 [qtp1265414275-31] INFO  datomic.process-monitor - {:metrics/started clojure.core/identity, :pid 488, :tid 31}
10:16:45.326 [clojure-agent-send-off-pool-10] INFO  datomic.process-monitor - {:AvailableMB 1620.0, :event :metrics, :pid 488, :tid 38}
10:16:45.328 [clojure-agent-send-off-pool-10] INFO  datomic.kv-cluster - {:event :kv-cluster/get-pod, :pod-key "pod-catalog", :phase :begin, :pid 488, :tid 38}
10:16:45.338 [clojure-agent-send-off-pool-10] INFO  datomic.kv-cluster - {:event :kv-cluster/get-pod, :pod-key "pod-catalog", :msec 9.06, :phase :end, :pid 488, :tid 38}
10:16:45.340 [qtp1265414275-31] INFO  datomic.domain - {:event :cache/create, :cache-bytes 954466304, :pid 488, :tid 31}
10:16:45.351 [qtp1265414275-31] INFO  datomic.peer - {:event :peer/connect-transactor, :host "localhost", :alt-host nil, :port 4334, :version "0.9.5327", :pid 488, :tid 31}
